Ol Chiki,Devanagari,English Meaning,Latin
ᱞᱚᱞᱚ,लोलो,Hot,Lolo
ᱪᱤᱞᱠᱟ ᱛᱟᱢ?,चिल्का तम?,How are you?,Chilka tam?
ᱟᱭᱝ ᱰᱚ ᱵᱮᱥ ᱜᱤ ᱭᱟ,आइंग दो बेस गि।,I am fine,Aaing do bes gi
ᱟᱭᱝ ᱦᱚ ᱵᱮᱥ ᱜᱤ ᱢᱮᱱᱤᱭᱟ,आइंग हो बेस गि मेनिया।,I am also fine.,Aaing ho bes gi meniya
ᱟᱢᱟ ᱳᱰᱰᱟ ᱠᱚᱛᱟ ᱨᱮ ᱭᱟ?,अमा ओड्डा कोटा रे?,Where is your home?,Ama odda kota re?
ᱟᱢ ᱢᱟᱱᱫᱤ ᱡᱚᱢ ᱠᱮᱫᱟᱢ?,आम मंदी जोम केडम?,Did you eat food?,Aam mandi jom kedam?
ᱟᱭᱝ ᱢᱟᱱᱫᱤ ᱡᱚᱢ ᱠᱮᱫᱟᱭᱝ,"हें, आइंग मंदी जोम केडाइंग।""","Yes, I have eaten food",Hey Aaing mandi jom kedaing
ᱵᱚᱲᱚ,बोरो,Fear,Boro
ᱡᱚᱢ-ᱠᱷᱟᱱᱟ,जोम,Food,Jom
ᱦᱮᱰᱮᱢ ᱰᱩᱰᱩᱢ,हेडेम दुदुम,Good night,Hedem dudum
᱑,मियाद,One,Miyad
᱒,बरिया,Two,Bariya
𑁩 ,अपिया,Three,Apiya
᱔,उपुना,Four,Upuna
᱕,मोडेया,Five,Modeya
᱖ ,तुरिया,Six,Turiya
᱕,एया,Seven,Eya
᱘,इरिलिया,Eight,Iriliya
᱙,अरेया,Nine,Areya
᱑᱐,गेलेया,Ten,Geleya
᱑᱑,गेल मियाद,Eleven,Gel Miyad
᱑᱒,गेल बरिया,Twelve,gel Bariya
᱑᱓,गेल अपिया,Thirteen,Gel Apiya
᱑᱔,गेल उपुना,Fourteen,Gel Upuna
᱑᱕,गेल मोडेया,Fifteen,Gel modeya
᱑᱖,गेल तुरिया,Sixteen,Gel Turiya
᱑᱗,गेल एया,Seventeen,Gel Eya
᱑᱘,गेल इरिलिया,Eighthteen,Gel Iriliya
᱑᱙,"गेल अरेया	",Nineteen,Gel Areya
᱒᱐,हिसि,Twenty,Hisi
᱃᱑,हिसी मियाद,Twenty one,Hisi Miyad
᱃᱒,हिसी बरिया,Twenty two,Hisi Bariya
᱃᱓,हिसी अपिया,Twenty three,Hisi Apiya
᱃᱔,हिसी उपुना,Twenty four,Hisi Upuna
᱃᱕,हिसी मोडेया,Twenty Five,Hisi Modeya
᱃᱖,हिसी तुरिया,Twenty six,Hisi turiya
᱃᱗,हिसी एया,Twenty Seven,Hisi Eya
᱃᱘,हिसी इरिलिया,Twenty Eight,Hisi Iriliya
᱃᱙,हिसी अरेया,Twenty Nine,Hisi Areya
 ᱣ ᱑ ᱐ ,मिद हिसी गेलेया,Thirty,mid hisi geleya
ᱠᱚᱰᱟ,कोड़ा,Boy,Koɖa
ᱠᱩᱰᱤ,कुड़ी,Girl,Kuɖi
ᱦᱟᱰᱟᱢ,हड़ाम,Old man,Haɖam
ᱫᱚᱝᱰᱟ,धांगड़ा,Young Man,Dhangda
ᱫᱚᱝᱰᱤ,धांगड़ी,Young women,Dhangdi
ᱦᱚᱰᱚ,होड़ो,Male,Hodo
ᱦᱚᱰᱚ ᱠᱚ,होड़ो को,People,Hoɖo ko
ᱫᱟᱹᱞ,दआ:,Water,Daa
 ᱰᱤᱨᱤ ,दिरी,Rock,Diri
ᱵᱩᱨᱩ,बुरू,Mountain,Buru
ᱦᱚᱨᱟ,होरा,Road,Hora
ᱨᱵᱟᱝ,रबंग,cold,Rabang
ᱨᱟᱢᱟᱞ,रमल,light,ramal
ᱦᱟᱛᱩ,हातू,Village,Hatu
ᱠᱷᱤᱥ,खीस,Angry,Khiːs
ᱰᱩᱞᱟᱰ,दुलाड़,Love,Dulaɖ
ᱦᱟᱥᱩ,हासू,Pain,Hasu
ᱨᱟᱹᱞ,रआ:,Cry,Raa
ᱞᱟᱝᱰᱟ,लांदा,Laughter,Landa
ᱞᱟᱝᱰᱟ,दुकु,sorrow,Duku
ᱫᱟᱨᱩ,दारू,Tree,Daru
ᱢᱤᱰ ᱦᱤᱥᱤ ᱜᱮᱞᱮᱭᱟ,मिद हिसी गेलेया,Thirty,mid hisi geleya
ᱱᱮᱭᱟ,नेया,It,Neya
ᱟᱢ / ᱟᱯᱮ,आम / आपे,You,Am / Ape
ᱦᱟᱱᱤ,हानि,She,Hani
ᱟᱤᱝ,आइंग,I,Aing
 ᱦᱤᱡᱩᱢ,हिजुम,Come,Hijum
ᱦᱤᱡᱩᱯᱮ / ᱦᱤᱡᱩᱜᱟᱢ /ᱦᱤᱡᱩᱛᱟᱱᱟᱯᱮ,  हिजुपे / हिजुगम / हिजुतानापे,Came ,Hijupe / Hijugam / Hijutanape
ᱦᱤᱡᱩᱣᱟᱭ /ᱦᱤᱡᱩᱜᱟᱭ / ᱦᱤᱡᱩᱳᱟᱞᱮ,हिजुवाय / हिजुगाय / हिजुओअले,Will come,Hijuvay / Hijugay / Hijuoale
ᱠᱷᱚᱞᱟᱭᱯᱮ,खोलायपे,Open, Kholaype 
Kholo / Kholaoyam / Kholayem,खोलो / खोलाओयम/ खोलायेम,Opened,Kholo / Kholaoyam / Kholayem
ᱠᱷᱚᱞᱟᱳᱭᱟᱭ,खोलाओयाय,Will open,Kholaoyay
ᱫᱩᱵᱢᱮ,दुबमे ,Sit,Dubme
ᱥᱮᱱᱮᱢ,सेनेम,walk,senem
ᱡᱚᱢᱮᱢ,जोमे़म,eat,Jomem
ᱱᱩᱤᱢ,नुइम,drink,Nuim
ᱥᱮᱱᱚᱢ,सेनोम ,Go,Senom
ᱱᱮᱨᱮᱢ,नीरेम,Run,Nerem
 ᱦᱤᱱᱤ ᱥᱮᱣ ᱡᱚᱢ ᱠᱮᱰᱟᱭ।,हिनी सेव जोम केदय।,He ate an apple.,Hini sev jom keday.
ᱟᱭᱝ ᱥᱤᱰᱟ ᱥᱟᱯᱛᱟᱦ ᱯᱤᱞᱟᱢ ᱞᱮᱞ ᱠᱮᱰᱟᱭᱝ।,आईंग सिदा सप्ताह फिलम लेल केदायंग।,I saw the film last week.,Aing sida saptah filam lel kedayang.
ᱦᱟᱱᱤ ᱦᱚᱞᱟ ᱵᱟᱥ ᱛᱮ ᱦᱤᱡᱩᱭᱱᱟᱭ।,हनि होला बस ते हिजुइनाय।,She came by bus yesterday.,Hani hola bas te hijuynaay.
ᱦᱤᱱᱤ ᱦᱟᱛᱩ ᱥᱮᱱᱚ ᱡᱟᱱᱛᱮ।,हिनी हातु सेनो जान्ते।,They went to the village.,Hini hatu seno jante.
ᱦᱤᱱᱤ ᱜᱚᱴᱟ ᱱᱤᱰᱟ ᱜᱤᱴᱤᱡ ᱠᱟᱱᱟᱭ।,हिनी गोटा निदा गितिज कनाय।,He slept the whole night.,Hini gota nida gitij kanay.
ᱦᱟᱱᱤ ᱯᱟᱨᱤᱠᱥᱷᱟ ᱢᱟᱡᱟ ᱚᱞ ᱞᱟᱭ।, हानी परीक्षा मज़ा ओल लाय।,He wrote well in the examination.,Hani pariksha maza oll lay.
ᱦᱤᱱᱤ ᱡᱚᱢ ᱠᱮᱰᱟᱭ।,हिनी जोम केदय।,He has eaten.,Hini jom keday.
 ᱦᱤᱱᱤ ᱥᱮᱰᱟᱜᱤ ᱡᱚᱢ ᱞᱮ, हिनी सेदागि जोम लै,He had eaten.,Hini sedagi jom lay.
ᱦᱟᱱᱤ ᱥᱮᱰᱟᱜᱤ ᱥᱮᱱᱚ ᱞᱮᱱᱟᱭ।,हनि सेदागि सेनो लेनाय।,He had gone.,Hani sedagi seno lenay.
ᱦᱟᱱᱤ ᱦᱮᱡᱩᱞᱮᱱᱟᱭ।,हनि हेजुलेनाय।,He had come.,Hani hejulenay.
ᱦᱟᱱᱤ ᱡᱚᱢᱮᱭᱟᱭ।,हनि जोमेयाय।,He will eat.,Hani jomeyay.
ᱦᱟᱱᱤ ᱥᱮᱱᱚᱜᱟᱭ।,हानी सेनोगाय।,He will go.,Hani senogay.
ᱦᱟᱱᱤ ᱦᱮᱡᱩᱜᱟᱭ।,हानी हेजुगाय।,He will come.,Hani hejugay.
ᱟᱢᱟ ᱪᱤᱠᱟᱱ ᱱᱩᱛᱩᱢ?,अम चिकन नुतुम?,What is your name?,Ama chikan nutum?
ᱟᱢ ᱪᱤᱠᱟ ᱠᱮᱰᱟᱢ?,अम चिक क़ेदम?,What did you do?,Am chika kedam?
ᱟᱭᱝ ᱪᱤᱠᱟ ᱭᱟᱝ?,आईंग चिक यांग?,What should I do?,Aing chika yang?
ᱟᱭᱝ ᱪᱤᱠ ᱰᱟᱰᱤᱭᱟᱱ?,आईंग चिक दादियान?,What can I do?,Aing chika dadiyan?
ᱪᱤᱠᱱᱟ ᱥᱟᱵᱟᱞ ᱛᱟᱱᱟ?,चिकना सवाल तना?,What are the questions?,What are the questions?
ᱪᱤᱠᱱᱟ ᱥᱟᱵᱟᱞ ᱴᱮᱱᱠᱮᱱᱟ?,चिकना सवाल तेंकेना?,What were the questions?,Chikna saval tainkena?
ᱟᱠᱨᱤ ᱥᱟᱵᱟᱞ ᱪᱤᱠᱱᱟ ᱛᱟᱱᱟ?,आख़री सवाल चिकना तना?,What is the last question?,Akri saval chikna tana?
ᱪᱤᱴᱤ ᱨᱮ ᱪᱤᱠᱱᱟ ᱚᱞᱟ ᱠᱟᱱᱟᱭ?,चिट्ठी रे चिकना ओला क़नाय?,What is written in the letter?,Chitti re chikna ola kana?
ᱟᱢᱠᱮ ᱪᱤᱠᱱᱟ ᱠᱟᱡᱤ ᱞᱮᱱᱟᱭ?,अमके चिकना क़ाजी लेनाय?,What you had been told?,Amke chikna kaji lena?
ᱡᱟᱵᱟᱵ ᱪᱤᱠᱱᱟ ᱦᱚᱵᱟᱣᱟ?, जवाब चिकना होबावा?,What will be the answer?,Jabab chikna hobava?
ᱟᱢ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱦᱤᱡᱩ ᱡᱟᱱᱟᱢ?,अम चिना लाईन हिजु जानाम?,Why did you come?,Am china line hiju janam?
ᱟᱢ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱜᱤᱴᱤᱡ ᱡᱟᱱᱟᱢ?,अम चिना लाईन गितिज जानाम?,Why did you sleep?,Am china line gitij janam?
ᱟᱢ ᱦᱟᱱᱤ ᱠᱮ ᱥᱮᱱᱚ ᱞᱟᱭᱱᱮ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱠᱟᱡᱤᱠᱮᱰᱟᱢ?,अम हानी के सेनो लाईन चिना लाईन काजीकेदाम?,Why did you tell him to go?,Am hani ke seno line china line kajikedam?
ᱦᱟᱱᱤ ᱛᱷᱟᱭᱞᱟ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱚᱣᱞᱟᱭ?,हानी थाईला चिना लाईन अउलाय?,Why did he bring the bag?,Hani taila china line aulay?
ᱦᱟᱱᱤ ᱯᱟᱭᱥᱟ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱤᱢ ᱠᱮᱰᱟᱭ?,हानी पैसा चिना लाईन एम केदय?,Why did she pay the money?,Hani paisa china line em keday?
ᱦᱟᱱᱤ ᱦᱟᱱᱛᱟ ᱪᱤᱠᱱᱟ ᱞᱟᱭᱱᱮ ᱫᱩᱵ ᱠᱮᱱᱟᱭ?,हानी हांता चिकना लाईन दुब केनाय?,Why did they sit there?,Hani hanta chikna line dub kenay?
ᱟᱢ ᱜᱟᱰᱤ ᱪᱤᱠᱱᱟ ᱞᱟᱭᱱᱮ ᱪᱟᱞᱟᱚ ᱵᱟᱢ?,अम गाड़ी चिकना लाईन चलाओ याम?,Why do you drive the car?,Am gadi chikna line chalao yam?
ᱦᱟᱱᱤ ᱢᱤᱴᱤᱝ ᱨᱮ ᱦᱮᱰᱟ ᱛᱮ ᱪᱤᱱᱟ ᱞᱟᱭᱱᱮ ᱦᱤᱡᱩᱭᱟᱱᱟᱭ?,हानी मीटिंग रे हेडा ते चिना लाईन हिजुयानाय?,Why did they come late for the meeting?,Hani meating re heda te chena line hejuyanay?
ᱟᱢ ᱪᱤᱞᱠᱟ ᱦᱤᱡᱩᱭᱟᱱᱟᱢ?,अम चिलका हिजुयानाम?,How did you come?,Am chilka hijuyanam?
 ᱟᱢ ᱪᱤᱞᱠᱟ ᱜᱤᱴᱤᱡ ᱵᱟᱱᱟᱢ?,अम चिलका गितिज यानाम?,Am chilka hijuyanam?,Am chilka gitij yanam?
ᱟᱢ ᱜᱟᱰᱤ ᱪᱤᱞᱠᱟ ᱪᱟᱞᱟᱚᱠᱮᱰᱟᱢ?,अम गाड़ी चिलका चलाओकेदाम?,How did you drive the car?,Am gadi chilka chalaokedam?
ᱟᱢ ᱪᱤᱞᱠᱟ ᱳᱞᱞ ᱠᱮᱰᱟᱢ?,अम चिलका ओल्ल केदाम?,How did you write?,Am chilka oll kedam?
ᱟᱭᱱᱟ ᱴᱤᱭ ᱨᱮ ᱪᱤᱢᱱᱟᱢ ᱥᱮᱣ ᱢᱮᱱᱟ?,आईना टिए रे चिमनम सेव मेना?,How many apples are there in my hand?,Aina tie re chimnam sev mena?
 ᱟᱢ ᱪᱤᱢᱱᱟᱝ ᱤᱰᱤ ᱠᱮᱰᱟᱢ?,अम चिमनंग ईदी केदाम?,How many did you take?,Am chimnang idi kedam?
ᱦᱟᱱᱤ ᱟᱢᱠᱮ ᱪᱤᱢᱱᱟᱝ ᱯᱟᱭᱥᱟ ᱤᱢ ᱞᱟᱭ?,हानी अमके चिमनंग पैसा एम लाय?,How much did he pay you?,Hani amke chimnang paisa em lay?
ᱦᱟᱰᱰᱚ ᱪᱤᱢᱱᱟᱝ ᱥᱟᱝᱜᱤᱱ ᱥᱮᱱ ᱢᱮᱱᱟ?,हड्डो चिमनंग सांगिन सेन मेना?,How much distance to go?,Haddo chimnang sangin sen mena?
ᱦᱚᱞᱟ ᱨ ᱭᱟᱴᱨᱟ ᱪᱤᱞᱠᱟ ᱴᱤᱱᱮ ᱠᱮᱱᱟ?,होला र यात्रा चिलका तिने केना?,How was the journey yesterday?,Hola ra yatra chilka tine kena?
ᱟᱯᱮ ᱳᱠᱚ ᱦᱚᱨᱟ ᱛᱮ ᱦᱤᱡᱩ ᱡᱟᱱᱟᱯᱮ?,अपे ओको होरा ते हिजु जानापे?,Which way did you come?,Ape oko hora te hiju janape?
ᱟᱯᱮᱠᱮ ᱳᱠᱚᱱ ᱨᱟᱝᱜᱟ ᱥᱩᱠᱩ ᱢᱮᱱᱟ?,अपेके ओकों रंगा सुकु मेना ?,Which is your favourite colour?,Apeke okon ranga suku mena?
ᱟᱢ ᱳᱠᱚᱱ ᱠᱟᱢᱨᱟ ᱨᱮ ᱜᱤᱛᱤᱡ ᱠᱮᱱᱟᱢ?,अम ओकों कमरा रे गितिज केनाम?,In which room did you sleep?,Am okon kamra re gitij kenam? 
ᱟᱢ ᱳᱠᱚᱱ ᱠᱟᱦᱟᱱᱤ ᱩᱰᱩᱵ ᱞᱟᱢ?,अम ओकों कहानी उडुब लाम?,Which story did you tell?,Am okon kahani udub lam?
ᱥᱳᱵᱮᱱ ᱴᱮ ᱢᱤᱛᱟ ᱢᱤᱛᱟᱭ ᱳᱠᱱᱟ ᱴᱟᱱᱟ?,सोबेन ते मिठा मिठाइ ओकना तना?,Which is the sweetest fruit?,Sobena te metta mittai okna tana?
ᱦᱤᱱᱰᱤ ᱨᱮ ᱥᱳᱵᱮᱱ ᱴᱮ ᱢᱟᱡᱟ ᱥᱟᱢᱟᱪᱟᱨ ᱯᱟᱴᱨ ᱳᱠᱱᱟ ᱴᱟᱱᱟ?,हिंदी रे सोबेन ते माजा समाचार पत्र ओकना तना? ,Which is the best newspaper in Hindi?,Hindi re soben te maza samachar patr okna tana?
ᱳᱠᱚᱱᱱ ᱵᱷᱟᱨᱟᱴᱤᱭᱟ ᱨᱟᱡᱭᱟ ᱨᱟ ᱡᱟᱱᱥᱟᱱᱠᱷᱭᱟ ᱛᱤᱢᱵᱟ ᱢᱮᱱᱟ?,ओकोंन भारतीय राज्य र जनसंख्या थिम्बा मेना?,Which Indian state has the largest population?,Okon bharatiya rajya ra jansankhya thimba mena?
ᱟᱢ ᱳᱠᱛᱟᱴᱮ ᱦᱤᱡᱩ ᱴᱟᱱᱟᱢᱮ?,अम ओक्ताते हिजु तानामे?,Where are you coming from?,Am oktate hiju taname?
ᱥᱳᱵᱮᱱ,सोबेन,All,soben
ᱴᱟᱱᱟ,तना,is / it is,tana
ᱥᱟᱢᱟᱪᱟᱨ,समाचार,newspaper,samachar
ᱴᱮ,ते,which,te
ᱛᱤᱢᱵᱟ,थिम्बा,more / greater / larger, thimba
ᱦᱩᱰᱤᱝ,हुडिंग,less / fewer, huding
ᱵᱩᱞᱩᱝ,बुलुंग,salt,bulung
ᱜᱚᱦᱚᱢ,गॊहोम,Wheat,gohom
ᱠᱚᱰᱟᱭ,कोदै,finger millet ,kodae
ᱵᱟᱵᱟ,बाबा,paddy / rice,baba
ᱛᱟᱢᱨᱟᱥ,तम्रस,Guava,tamras
ᱡᱳᱡᱳ,जोजो,tamarind,Jojo
ᱠᱩᱰᱟ,कुदा,black plum / jamun,kuda
ᱦᱚᱞᱚᱝ,होलोङ,roti / flatbread,holong
ᱥᱮᱝᱜᱮᱞ,सेंगेल,Fire,sengel
ᱥᱟᱦᱟᱱ,सहन,wood,sahan
ᱥᱳᱴᱟ,सोटा, stick ,sota
ᱳᱰᱮ,ओडे,bird,ode
ᱢᱮᱨᱚᱢ,मेरोम,goat,merom
ᱩᱨᱤᱜ,उरिग,ox/bull,urig
ᱠᱟᱴᱩ,कातु,knife,katu
ᱥᱟᱰᱚᱢ,सदोम,horse,sadom
ᱠᱩᱞᱞᱟ,कुल्ला,tiger,kulla
ᱳᱠᱛᱟ,ओकता,where,okta
ᱵᱤᱛ,भीत,Wall,bhit
ᱨᱚᱠᱳ,रोको,fly,roko
ᱱᱤᱰᱤᱨ,निदिर,termite,nidir
ᱥᱤᱢ,सिम,Chicken ,sim
ᱰᱳᱭᱟ,दोया,back,doya
ᱠᱟᱴᱟ,काटा,legs,kata
ᱥᱟᱨᱥᱟᱨ,सर्सर,fingers ,sarsar
ᱞᱩᱴᱩᱨ,लुतुर,ear,lutur
ᱩᱵᱵ,उब्ब,hair,ubb
ᱦᱳᱴᱳ,होटो,neck,hoto
ᱦᱮᱰᱟ,हेड़ा,late,heda
ᱪᱤᱢᱱᱟᱝ,चिमनांग,how much/how many,chimnang
ᱯᱤᱛ,पिट,market,pit
 ᱠᱚᱦᱟᱜᱤ,काहागी,no,kahagi
ᱟᱞᱮᱭᱟ,अलेया,our,aleya
ᱱᱤᱢᱤᱨ,निमिर,nowdays,nimir
ᱵᱟᱱᱳ,बानो,no,bano
ᱟᱢᱟ,अमा,your,amaa
ᱩᱢᱟ,उमा,mother,uma
ᱟᱵᱟ,अबा,father,abaa
ᱳᱰᱟ,ओड़ा,home,oɖa
ᱳᱠᱳᱭ,ओकोय,Who,okoy
ᱰᱟᱰᱟ,दादा,brother,dada
ᱠᱳᱛᱟ,कोता,where,kota
ᱱᱩᱴᱩᱢ,नुतुम,name,nutum
ᱪᱤᱱᱟᱹ,चीनाः,what,cinaḥ
ᱨᱮᱭᱰ,रेयड़, Cold,reyɖ
ᱨᱵᱟᱝ,रबंग,Cold Weather,rabang
ᱵᱟᱞᱵᱟᱞ,बलबल,hot weather,balbal
ᱥᱤᱴᱩᱢ,सितुम,sunlight,situm
ᱩᱢᱵᱩᱞ,उम्बुल,shade,umbul
ᱥᱤᱝᱜᱤ,सिंगी,day,singi
ᱟᱭᱩᱵ,अयुब,night,ayub
ᱟᱞᱚᱢ,आलोम,alom,Don't
ᱪᱮᱴᱟᱱ,चेतान,Up,cetan
ᱫᱚᱦᱚ,दोहो,To keep,To keep
ᱠᱛᱤᱠᱟᱱ,कटिकन,little,katikan
ᱞᱛᱟᱨ,लथार,Down ,lthar
ᱢᱩᱨᱩᱠ,मुरुक,A lot / Very much,muruk
ᱤᱥᱤᱝ,इसिंग,today,ising
ᱪᱟᱦᱟ,चाहा,tea,chaha
ᱩᱴᱩ,ऊतु,vegetable,utu
ᱫᱟᱭᱞ,दाइल,Lentils,dail
ᱡᱤᱞᱩ,जीलु,meat,jilu
ᱦᱟᱠᱩ,हाकू,fish,haku
ᱠᱚᱛᱠᱚᱢ,कटकोम,crab,katkom
ᱟᱰᱟᱭ,अड़आ,saag,aḍa
ᱥᱩᱱᱩᱢ,सुनुम,oil,sunum
ᱪᱤᱱᱤ,चीनी,sugar,cini
ᱨᱟᱥᱩᱱᱰᱤ,रसुण्डी,garlic,rasuṇḍi
ᱟᱰᱤ,आदि,Ginger,adi
ᱛᱟᱰᱤ,थाड़ी,plate,thaḍi
ᱰᱩᱵᱷᱱᱤ,डुभनी,bowl,ḍubhni
ᱥᱤᱵᱤᱞ,सिबिल,tasty,sibil
ᱥᱟᱵᱟᱹ,सबअ:,Tasteless,saba
ᱦᱟᱰᱟᱰ,हड़द,haḍaḍ,Hot (Spicy)
ᱦᱟᱴᱤᱝ,हाटिंग,Distribute ,haṭing
ᱤᱥᱤᱱ,इसिन,Cook,isin
ᱫᱩᱵ,दुब,sit,dub
ᱟᱵᱩᱝ,अबुंग,wash,abung
ᱛᱤᱤᱹ,तीइ:,hand,tii:
ᱜᱟᱥᱟᱨ,गसर,gasar,Cleaning Utensils
ᱢᱮᱦᱮᱨ,मेहेर,Bitter,meher
ᱨᱮᱭᱰ ᱫᱟᱹ,रेयड़ दअ:,cold water,reyạḍ da:
ᱞᱚᱞᱚ ᱫᱟᱹ,लोलो दअ:,hot water,lolo da:
ᱵᱤᱝ,बींग,snake,bing
ᱪᱚᱠᱮ,चोके,frog,choke
ᱛᱩᱭᱩ,तुयु,fox,tuyu
ᱥᱩᱠᱨᱤ,सुकरी,pig,sukri
ᱢᱤᱝᱰᱤ,मिंडी,sheep,mindi
ᱥᱟᱱᱰᱤ,सांडी,Rooster,sandi
ᱠᱷᱟᱥᱤ,खासी,goat,khasi
ᱨᱟᱱᱩ,रानू,Medicine,ranu
ᱵᱤᱞᱞᱟᱭ,बिल्लई,cat,billai
ᱠᱮᱰᱟ,केडा,buffalo,keda
ᱥᱮᱴᱟ:,सेतअ:,morning,seta
ᱢᱮᱭᱟᱝ ᱦᱩᱞᱟᱝ,मेयांग हुलांग,Day After Tomorrow,meyang hulang
ᱦᱚᱞᱟ,होला,yesterday,hola
ᱤᱥᱤᱝ / ᱴᱤᱥᱤᱝ,इसिंग / तिसिंग,today,ising / tising
ᱛᱟᱞᱟ ᱱᱤᱰᱟ,थाला निदा,midnight,thala nida
ᱦᱚᱞᱟᱛᱮᱨ,होलाथेर,Day Before Yesterday,holather
ᱜᱟᱯᱯᱟ,गप्पा,Tomorrow,gappa
ᱡᱟᱱᱟᱣ,जनाव,always,janaw
ᱳᱠᱳ ᱦᱩᱞᱟᱝ,ओको हुलांग,which day,oko hulang
ᱪᱤᱩᱞᱟ,चिउला, Which Day,chiula
ᱱᱩᱰᱩᱢ,नुदुम,Evening,nudum
ᱜᱮᱰᱮ,गेडे,duck,gede
ᱵᱷᱟᱰᱩᱰᱤ,भादुडी,bat,bhadudi
ᱯᱩᱴᱚᱢ,पुतम,peagon,Pigeon
ᱢᱟᱨᱟᱚ,मराअ:,Peacock,maraa
ᱜᱤᱰᱤ,गिदी,Vulture,gidi
ᱥᱩᱜᱜᱟ,सुग्गा,parrot,sugga
ᱟᱞᱩ,आलु,potato,alu
ᱴᱚᱠᱚ,टोको,tomato,toko
ᱜᱚᱞ ᱵᱷᱟᱴᱟ,गोल भटा,tomato,gol bhata
ᱯᱭᱟᱡ,प्याज,onion ,pyaj
ᱵᱷᱮᱰᱣᱟ,भेड़वा,lady finger/okra,bhedwa
