Ol Chiki,Devanagari,English Meaning,Latin
मोराई,मोराई,radish,Morai
ᱛᱟᱭᱚᱨ,तयर,cucmber,tayor
ᱞᱚᱣᱟ,लउवा,bottle gourd,louwa
ᱥᱩᱠᱩ,सुकु,pumpkin,suku
ᱢᱟᱨᱪᱤ,मरचि,chili,marchi
ᱯᱟᱞᱟᱝᱠᱟ ᱟᱰᱟ:,पलंका अड़आ:,spinach,palak adaa
ᱢᱩᱱᱩ,मुनु,january,munu
ᱯᱟᱜᱩ,पागु,february,pagu
ᱵᱟ,बा,march,ba
ᱯᱤᱨᱢᱟᱭᱤᱞᱤ,पिरमइली,april,piramaili
ᱡᱮᱴᱮ,जेटे,may,jete
ᱡᱩᱰᱠᱟ,जुड़का,june,judka
ᱡᱟᱞᱤᱠᱟ,जलिका,july,jalika
ᱥᱜᱤᱛᱟ,सगिता,august,sagita
ᱥᱩᱴᱤᱚᱢ,सुतिअम,septmeber,sutiom
ᱤᱱᱰᱤ,इंदि,october,indi
ᱟᱜᱷᱟᱱ,अगहन,november,agahan
ᱢᱟᱜᱮ,मागे,december,mage
ᱦᱟᱜᱟ,हागा,brother,haga
ᱰᱟᱰᱟ,दादा,elder brother,dada
ᱢᱤᱥᱤ,मिसी,sister,misi
ᱱᱟᱱᱟ,नाना,elder sister,nana
ᱠᱟᱠᱟ,कका,Uncle,kaka
ᱠᱟᱠᱤ,ककी,aunty,kaki
ᱢᱟᱢᱩ,ममु,Maternal Uncle,mamu
ᱢᱟᱢᱤ,ममी,Maternal Aunty,mami
ᱦᱤᱞᱤ,हिलि,Wife of Elder Brother,hili
ᱜᱟᱛᱤ,गाती,friend,gati
ᱠᱟᱧᱛᱚᱰ,कंठड़,jackfruit,kanṭhaṛ
᱔᱑,बर हिसि मियद,Forty-one,bar hisi miyad
᱔᱒,बर हिसि बरिया,Forty-two,bar hisi bariya
᱔᱓,बर हिसि अपिया,Forty-three,bar hisi apiya
᱔᱔,बर हिसि उपना,Forty-four,bar hisi upna
᱔᱕,बर हिसि मोड़ेया,Forty-five,bar hisi modeya
᱔᱖,बर हिसि तुरिया,Forty-six,bar hisi turiya
᱔᱗,बर हिसि एया,Forty-seven,bar hisi eya
᱔᱘,बर हिसि एरलिया,Forty-eight,bar hisi erliya
᱔᱙,बर हिसि अरिया ,Forty-nine,bar hisi ariya
᱕᱐,बर हिसि गेलेया,Fifty,bar hisi geleya
ᱢᱟᱫᱩᱠᱟᱢ,महुआ,Mahua,madukam 
᱕᱑,बर हिसि गेल मियद,Fifty-One,bar hisi gel miyad
᱕᱒,बर हिसि गेल बरिया,Fifty-two,bar hisi gel bariya
᱕᱓,बर हिसि गेल अपिया,Fifty-three,bar hisi gel apiya
᱕᱔,बर हिसि गेल उपना,Fifty-four,bar hisi gel upna
᱕᱕,बर हिसि गेल मोड़ेया,Fifty-five,bar hisi gel modeya
᱕᱖,बर हिसि गेल तुरिया,Fifty-six,bar hisi gel turiya
᱕᱗,बर हिसि गेल एया,Fifty-seven,bar hisi gel eya
᱕᱘,बर हिसि गेल एरलिया,Fifty-Eight,bar hisi gel erliya
᱕᱙,बर हिसि गेल अरिया,Fifty-nine,bar hisi gel ariya
᱖᱐,अपि हिसि,sixty,api hisi
᱖᱑,अपि हिसि मियद,sixty-one,api hisi miyad
᱖᱒,अपि हिसि बरिया,sixty-two,api hisi bariya
᱖᱓,अपि हिसि अपिया,sixty-three,api hisi apiya
᱖᱔,अपि हिसि उपना,sixty-four,api hisi upna
᱖᱕,अपि हिसि मोड़ेया,sixty-five,api hisi modeya
᱖᱖,अपि हिसि तुरिया,sixty-six,api hisi turiya
᱖᱗,अपि हिसि एया,sixty-seven,api hisi eya
᱖᱘,अपि हिसि एरलिया,sixty-eight,api hisi erliya
᱖᱙,अपि हिसि अरिया,sixty-nine,api hisi ariya
᱗᱐,अपि हिसि गेलेया,seventy,api hisi geleya
᱘᱑,उपुन हिसि मियद,Eighty-One,upun hisi miyad
᱘᱒,उपुन हिसि बरिया,Eighty-two,upun hisi bariya
᱘᱓,उपुन हिसि अपिया,Eighty-three,upun hisi apiya
᱘᱔,उपुन हिसि उपना,Eighty-four,upun hisi upna
᱘᱕,उपुन हिसि मोड़ेया,Eighty-five,upun hisi modeya
᱘᱖,उपुन हिसि तुरिया,Eighty-six,upun hisi turiya
᱘᱗,उपुन हिसि एया,Eighty-seven,upun hisi eya
᱘᱘,उपुन हिसि एरलिया,Eighty-eight,upun hisi erliya
᱘᱙,उपुन हिसि अरिया,Eighty-nine,upun hisi ariya
᱙᱐,उपुन हिसि गेलेया,ninty,upun hisi geleya
᱗᱑,अपि हिसि गेल मियद,Seventy-One,api hisi gel miyad
᱗᱒,अपि हिसि गेल बरिया,seventy-two,api hisi gel bariya
᱗᱓,अपि हिसि गेल अपिया,seventy-three,api hisi gel apiya
᱗᱔,अपि हिसि गेल उपना,seventy-four,api hisi gel upna
᱗᱕,अपि हिसि गेल मोड़ेया,seventy-five,api hisi gel modeya
᱗᱖,अपि हिसि गेल तुरिया,seventy-six,api hisi gel turiya
᱗᱗,अपि हिसि गेल एया,seventy-seven,api hisi gel eya
᱗᱘,अपि हिसि गेल एरलिया,seventy-eight,api hisi gel erliya
᱗᱙,अपि हिसि गेल अरिया,seventy-nine,api hisi gel ariya
᱘᱐,उपुन हिसि,eighty,api hisi gel ariya
᱙᱑,उपुन हिसि गेल मियद,ninety-one,upun hisi gel miyad
᱙᱒,उपुन हिसि गेल बरिया,ninety-two,upun hisi gel bariya
᱙᱓,उपुन हिसि गेल अपिया,ninety-three,upun hisi gel apiya
᱙᱔,उपुन हिसि गेल उपना,ninety-four,upun hisi gel upna
᱙᱕,उपुन हिसि गेल मोड़ेया,ninety-five,upun hisi gel modeya
᱙᱖,उपुन हिसि गेल तुरिया,ninety-six,upun hisi gel turiya
᱙᱗,उपुन हिसि गेल एया,ninety-seven,upun hisi gel eya
᱙᱘,उपुन हिसि गेल एरलिया,ninety-eight,upun hisi gel erliya
᱙᱙,उपुन हिसि गेल अरिया,ninety-nine,upun hisi gel ariya
᱑᱐᱐,मोड़ें हिसि / मोद सै, hundred,moden hisi / mod sei
ᱢᱚᱪᱟ,मोचा,mouth,mocha
 ᱟᱞᱚᱝ,आलंग,Tongue,aalang
ᱠᱩᱰᱢ,कुडम,Chest,kudum
ᱞᱟᱡᱷ,लाजः,Stomach,laajh
ᱪᱟᱯᱞ,चपल,bums/butts,chapal
ᱡᱟᱝ,जांग,thigh,jangh
ᱦᱚᱰᱢᱚ,होड़मो,Body,hoṛmo
ᱢᱩᱠᱩᱰᱤ,मुकुड़ी,Knees,mukuṛi
ᱨᱟᱢᱟᱦ,रमाः,nails,ramāh
ᱢᱟᱭᱟᱝ,मयांग,Hips,mayāng
ᱡᱚᱣᱟ,जोवा,Cheeks,jowa
ᱢᱚᱞᱚᱝ,मोलोंग,forehead,molong
ᱢᱮᱰ,मेद,eyes,med
ᱢᱩᱦᱩ,मुहू,nose,muhu
ᱛᱮᱛᱟᱝ,तेतंग,Thirsty,tetang
ᱨᱮᱝᱜᱮ,रेंगे,Hungry,reṅge
ᱜᱤᱛᱤᱞ,गितिल,sand,gitil
ᱦᱟᱥᱥᱟ,हस्सा,Clay,hassā
ᱜᱟᱰᱷᱟ,गाढ़ा,valley(depth),gāṛhā
ᱥᱟᱱᱫᱟᱠ,संडक,Road,sandak
ᱯᱤᱰᱤ,पीढ़ी,Agricultural Land,pīṛhī
ᱢᱮᱫᱟᱱ,मैदन,Playground,maidān
ᱠᱩᱣᱟ,कुआँ,well,kuā̃
ᱱᱟᱭ,नाइ,river,nāi
ᱯᱤᱛ-ᱯᱤᱰᱤ,पीट-पीढ़ी,market-place,pīt-pīṛhī
ᱵᱟᱱᱫᱟ,बाँदा,lake,bāndā
ᱡᱮᱛ,जेठ,Summer,Jeth
ᱡᱟᱨᱜᱤ,जरगी,Rainy,Jargi
ᱵᱟ,बा,Spring,Ba
ᱥᱟᱠᱟᱢ,सकम,Leaf,sakam
ᱥᱟᱠᱚᱢ,साकोम,Bangles,sakom
ᱥᱩᱥᱩᱱ,सुसुन,dance,susun
ᱫᱩᱨᱟᱝ,दुरङ्ग,singing,durang
ᱫᱩᱢᱟᱝ,दुमाङ,Mandar drum,dumang
ᱥᱟᱰᱰᱤ,साड्डी,to play (instrument),saḍḍi / saddi
ᱯᱟᱦᱟᱢ,पहम,memory,paham
ᱵᱟᱨᱩ,कुसुम,kusum,baru
ᱞᱳᱣᱟ,लोवा,Fig,lowa
ᱛᱤᱨᱤᱞ,केंद / केन्द,Kend / Tendu (East Indian Ebony),tiril
ᱵᱟᱫᱤ,बड़ि,Banyan tree,badi
ᱠᱮᱨᱟ,केरा,banana,kera
ᱥᱚᱥᱚ,सोसो,Cashew,soso
ᱫᱟᱠ,दाक,grape,daak
ᱱᱤᱢᱵᱩ,निंबु,lemon ,nimbu
ᱫᱚᱞᱟ,डोला,Mahua fruit,doola
ᱦᱮᱥᱟ,हेसा,pakar,hesa
ᱫᱟᱢᱵᱷᱟ,डंभा,dambha,dambha
ᱠᱩᱫᱤ,कुड्डी,Spade / Hoe (Farming Tool),kudi
ᱱᱟᱭᱟᱞ,नयाल,Plough,nayal
ᱥᱟᱵᱟᱫ,सबड़,Crowbar / Iron Rod / Pry bar,sabad
ᱦᱟᱠᱮ,हाके,Axe,hake
ᱵᱟᱥᱤᱞᱟ,बसिला, Chisel / Small Axe (Basula),basila
ᱟᱨᱤ,आरि,saw,aari
ᱵᱩᱴᱤ,बुटी,Navel / Belly Button,buti
ᱨᱟᱪᱟ,रचा,Courtyard / Yard,racha 
ᱠᱚᱞᱚᱢ,कोलोम,Threshing floor / Yard,kolom
ᱯᱤᱯᱫᱯᱤᱩᱢ,पिप्डपिउम,Firefly / Glowworm,pipidpium
ᱢᱟᱭᱚᱢ,मयोम,Blood,mayom
ᱠᱟᱢᱫᱟ,कमड़ा,Blanket,kamda
ᱫᱟᱴᱨᱚ,दात्रो,Sickle,datro
ᱵᱟᱞᱣᱟ,बल्वा,Battle Axe / Large Axe (Pharsa),balwa
ᱞᱤᱡᱡᱟ,लिज्जा,Clothes,lizza
ᱦᱟᱛᱟ,हटा,Winnowing Basket (Sup),hata
ᱜᱚᱰᱚ,गोड़ो,Dirty,Goḍo
ᱯᱟᱨᱠᱟ,परका,Far,Parka
ᱫᱮᱞᱟ,देला,Come,dela
ᱯᱷᱟᱨᱪᱤ,फरचि,clean,Pharchi
ᱦᱚᱱ ᱠᱚᱰᱟ,होन कोड़ा,son,Hon Koḍa
ᱦᱚᱱ ᱠᱩᱰᱤ,होन कुड़ी,Daughter,hon kudi
ᱦᱟᱱᱟᱨ,हनर,Hanar,Mother-in-law
ᱤᱨᱤᱞ ᱠᱩᱰᱤ,इरिल कुड़ी,Husband's sister,Iril Kuḍi
ᱤᱨᱤᱞ ᱠᱚᱰᱟ,इरिल कोड़ा,Husband's younger brother,Iril Koḍa
ᱵᱷᱟᱛᱩ,भाटू,Brother-in-law,Bhatu
ᱮᱯᱤᱞ,ईपिल,star,Epil
 ᱴᱩᱥᱩᱡ,तु्सिंग,Wear,Tusing
ᱪᱟᱦᱟ,चहा,Tea,chaha
ᱰᱳᱞᱟ,दोला,Let's go,Dola
ᱵᱮᱞᱩ ᱯᱮ,जल्दी पे,Hurry up,jaldi pe
ᱞᱩᱛᱟ,लिजा,clothes,liza
ᱱᱤᱨᱮ,निर्मे,Run,Nirme
ᱮᱱᱩᱞᱤ,मण्डी,Rice,Mandi
ᱥᱟᱵᱮᱢᱮ,सबेमे,Catch / Hold,Sabeme
ᱪᱟᱨᱪᱟᱛ,कर्कद,brush,Karkad
ᱫᱩᱨᱟᱝ,दुरांग,song,durang
ᱥᱤᱨᱢᱟ,सिर्मा,heaven,sirma
ᱵᱚᱝᱜᱟ,बोङ्गा,ghost / spirit,bonga
ᱵᱟᱟᱫᱮ,बाड़े / बाडे,big,baade
ᱢᱟᱨᱟᱝ,मरांग,big / great / supreme,marang
ᱢᱟᱞᱦᱟᱱ,मल्हन,sem beans,malhan
ᱠᱟᱱᱛᱟᱝᱽ,कनठड़,jackfruit,kanṭhaṛ
ᱵᱮᱞᱟᱴᱤ,बेलाती, tomato,belati
ᱥᱟᱜᱟ,संगा,sweet potato,sanga
ᱯᱟᱛᱟᱨ,मटर,pea,matar
ᱜᱟᱶᱟᱨ,गाजर,carrot,gajar
ᱥᱤᱱᱞᱟᱢᱟᱽᱪᱤ,सिमलमर्ची,capsicum,simlamarchi
ᱵᱟᱦᱟ,बहा,flower,baha
ᱮᱱᱴᱤᱪᱤ,लिची,litchi,litchi
ᱴᱚᱣᱟ,तोवा,milk,towa
ᱟᱠᱷᱨᱚᱴ,अखरोट,walnut,akhrot
ᱠᱟᱡᱩ,काजू,cashew nut,kaju
ᱠᱤᱥᱢᱤᱥ,किसमिश,kismish,raisins
ᱟᱝᱜᱩᱨ,अंगुर,grapes,angur
ᱢᱮᱨᱟᱞ,मेरल,gooseberry,meral
ᱟᱱᱟᱨ,अनार,pomegranate,aanar
ᱥᱟᱱᱴᱨᱟ,संतरा,Orange,santra
ᱱᱮᱣᱟ,नेवा,custard apple, sarifa
ᱫᱚᱫᱟᱫᱤ,दोदाड़ी,Indian jujube,dodadi
ᱱᱟᱣᱟ,नवा,new,nawa
ᱯᱟᱵᱤᱛᱟ,पबिता,papaya,pabita
ᱴᱟᱠᱟ,टाका,money / paisa,taka
ᱠᱟᱫᱟᱞ,कदल,banana,kadal
ᱩᱞᱤ,उली,mango,uli
ᱴᱟᱨᱵᱩᱡ,तरबूज,watermelon,tarbuj
ᱠᱟᱫᱤ,कङि,female buffalo,kadi
ᱩᱯᱟᱜ ᱵᱟᱦᱟ,उपल बहा,lotus,upal baha
ᱴᱩᱥᱤᱝ,तुसिंग,to wear,tusing
ᱵᱟᱩᱫᱟᱦᱤ,बउडाही,baudaahi,baudaahi
ᱟᱮᱜᱮᱨ,एेगर,to scold,aeger
ᱩᱨᱩᱭ,उरुई,fever,urui
ᱠᱟᱢᱤ,कामी,work,kaami
ᱡᱚᱱᱚᱦ,जोनोह,broom,jonoh
ᱯᱟᱣᱷᱟ,फ़दा,kick,fadha
ᱥᱩᱵᱟ,नुबा,night,nuba
ᱴᱽᱭᱽᱮᱱ,ट्रेन,train,train
ᱵᱟᱠᱟᱰ,बकड़,to talk,bakad
ᱵᱩᱥ,बस,bus,bus
ᱴᱩᱟᱨ,दुवार,gate,duwar
ᱬᱤᱰᱤᱪᱤ,खिड़की,window,khidki
ᱱᱮᱴᱮ,नेते,here,nete
ᱨᱟᱴᱮ,हांते,there,hante
ᱬᱷᱟᱲᱟ,खरपा,slipper,kharpa
ᱴᱮᱡᱟ,देंगा,to help,denga
ᱟᱯᱜᱮᱨ,एपगेर,fight,apger
ᱟᱮᱥᱤ,आसि,to ask for / to request,aasi
ᱮᱱᱩᱛᱟ,एण्डा,to throw,enda
ᱪᱮᱨᱤᱝ,किरिंग,to buy,kiring
ᱴᱚᱧᱚ,दोहो,to keep,doho
ᱢᱩᱰᱟᱢ,मुदाम,mudam,ring
ᱥᱤᱠᱫᱤ,सिकड़ी,mosquito,sikdi
ᱴᱟᱭᱱᱪᱟ,ताईंचा,let it be / leave it,taincha
ᱵᱟᱭᱟᱨ,बायर,rope,bayar
ᱥᱤᱫᱟ,सिदा,before,sida
ᱴᱟᱭᱚᱢ,तायोम,later,tayom
ᱦᱚᱱᱚᱨ,होनोर,roam,honor
ᱦᱚᱱ,होन,child,hon
ᱥᱮᱠᱟᱫ,सेकड़,to be ready,sekad
ᱴᱟᱭᱟᱨᱮᱱ ᱯᱮ,तायारेन पे,get ready ,tayaren pe
ᱫᱩᱠᱤ,डुकी,pee,duki
ᱲᱩᱥᱟᱨ,उसड,vomit,usad
ᱵᱤᱲᱤᱴ,बिरिद,get up,birid
ᱩᱴᱩᱢ,दुडुम,sleep,dudum
ᱥᱟᱸᱤ,साडी,to play (instrument),sadi
ᱦᱮᱴᱚ,होयो,air,hoyo
ᱦᱟᱴᱮ ᱟᱞᱚᱢ ᱥᱮᱱᱟ,हांते अलोम सेना,don't go there,hante alom sena
ᱜᱟᱥᱤᱪ,गासिक,fart,gasik
ᱪᱤᱢᱤᱱ,चीमिन,how much,chimin
ᱪᱤᱢᱤᱱ ᱧᱟᱪᱟ,चीमिन टाका,how many rupees,chimin taka
ᱟᱞᱚᱢ ᱥᱮᱱᱟ,अलोम सेना,don't go ,alom sena
ᱤᱪᱮ,कोते,where,kote
ᱤᱪᱮ ᱥᱮᱱᱚ ᱴᱟᱱᱟᱢ?,कोते सेनो तनाम?,where are you going?,kote seno tanam?
ᱟᱩᱜ ᱢᱟᱱᱩ ᱖ᱚᱢ ᱴᱮ᱘ᱟᱢ?,आम मंडी जोम केदाम?,Did you eat food?,aam mandi jom kedam
ᱵᱟᱷᱤᱪᱟ,जरीका,Just like that,jarika
ᱨᱤᱫᱤᱝ,रिडिंग,forget,riding
ᱯᱮᱫᱟ,पेडा,guest,"peda	"
ᱮᱥᱠᱟᱨ,एस्कर,alone,eskar
ᱥᱟᱨᱤ,साड़ी,saree,saree
ᱵᱷᱤᱫᱟ,भीड़ा,I will hit you ,bhida
ᱱᱟᱢ ᱠᱮᱫᱟᱢ?,नम केदाम?,Did you get it?,Nam kedam?
ᱱᱮᱞ ᱠᱮᱫᱟᱢ?,नेल केदाम?,Did you see it?,nel kedam?
᱈ᱚᱢ ᱢᱟᱢ,जोम तम,eat it,jom tam
ᱥᱮᱥᱮᱱ,सेसन,Walking,sesen
ᱦᱤᱶᱩ,हिजु,come,hiju
ᱯᱮᱱᱴᱮ,पेंटे,pant,pente
ᱚᱠᱚᱱ ᱦᱚᱨᱟ ᱴᱮ ᱥᱮᱱᱚ ᱴᱟᱱᱟᱢ,ओकॉन होरा ते सेनो तनम, Which way are you going?,okon hora te seno tanam
ᱳᱰᱚᱝ,ओडोंग,To go out / Exit,odong
ᱥᱤᱴᱽᱨᱩ,सित्रु,Dirty,sitru
ᱯᱷᱮᱨᱮᱜ,फेरेग,Fill / Overflow,phereg
ᱞᱮᱞᱟ ᱪᱟᱭ ᱨᱩᱴᱮ ᱨᱩᱛᱟ ᱨᱮᱦᱮᱹ ᱯᱟᱞᱟ ᱥᱮᱱᱚᱭᱟ᱃ᱩ,देला चाई नुते सेनोयाबु,Let's go for a cup of tea,Dela chai nute senoyabu
ᱟᱴᱩᱨ,अटकर,Feel,atkar
ᱡᱩᱴᱤᱠ,जुटिक,touch ,Jutik
ᱵᱤᱭᱩᱨ,बियुर,Wandering,biyur
ᱦᱟᱫᱮ ᱢᱮ,हदे मे,cut it,hade me
ᱪᱤᱢᱤᱱ ᱢᱟᱡᱟ ᱱᱮᱞᱚ ᱴᱟᱱᱟᱢ,चिमिन मज़ा नेलो तनम,How good you are looking,chimin maza nelo tanam
ᱥᱮᱴᱮᱨ,सेटर,Reach,seter
ᱜᱚᱴᱟ ᱱᱤᱰᱟ,गोटा निदा,Whole night,gota nida
ᱱᱟᱢ ᱠᱮᱫᱟ?,नाम केदा?,Got it? / Found it?,nam keda?
ᱱᱟᱢ,नाम,found,nam
ᱪᱷᱟᱵᱟ,छाबा,Finished / Ended,chaba
ᱢᱟᱱᱤ ᱩ ᱪᱷᱟᱵᱟ ᱡᱟᱱᱟ?,मंड़ी दो छाबा जाना?,Has the food finished?,mandi do chaba jana?
ᱟᱟᱷᱤᱝ ᱢᱟᱱᱤ ᱞᱟᱭ ᱴᱟᱱᱟᱝᱤ,आईं मंड़ी बाई तानाइं,I am cooking food,aaing mandi bai tanaing
ᱚᱪᱚ,ओचो,Don't do it,ocho
ᱥᱩᱞᱤᱜ,सुलिग,Nasal discharge,sulig
ᱪᱚᱠᱮ ᱟᱫᱟ,चोके अड़ा,Asiatic pennywort,choke ada
ᱟᱫᱟ,अड़ा,Leafy green,ada
ᱫᱚᱦᱚ ᱴᱟᱢ,दोहो तम,Keep it / Put it,doho tam
ᱠᱚᱥᱤᱥ,कोशिश,Try / Attempt,kosis
ᱟᱡᱚᱢ,आजोम,to feed someone ,aajom
ᱨᱟᱯᱩᱰ,रपुद,Break (shatter fragile objects),rapud
ᱨᱚᱦᱚᱫ,रोहोड़,To dry / Sukhana,rohod
ᱞᱤᱡᱟ,लिजा,clothes,liza
ᱨᱚᱦᱚᱫ ᱴᱟᱢ,रोहोड़ तम,Dry it / Make dry,rohod tam
ᱟᱫᱮᱨ ᱴᱟᱢ,आदेर तम,Put inside,aader tam
ᱟᱫᱮᱨ,आदेर,Inside,aader 
ᱤᱰᱩ,इदु,Not sure / Don’t know,idu
ᱟᱭᱤᱝ ᱠᱟᱭᱝ ᱥᱟᱨᱤᱭᱟ,आयिंग काइंग सरिया,I don’t know,aaing kaing sariya
ᱥᱟᱨᱤ,सरी,know,sari
ᱫᱟ ᱴᱚ ᱠᱟᱴᱤᱠ ᱥᱩᱱᱩᱢ,दा तो काटिक सुनुम,Give a little oil,da to katik sunum
ᱠᱚᱴᱮ ᱥᱮᱱ ᱴᱟᱱᱟᱢ,कोते सेन तनम?,Where are you going?,kote sen tanam?
ᱰᱩᱞᱟᱫ,दुलड़,Love,dulad
ᱮᱱᱰᱟ,एन्डा,throw,enda
ᱢᱟᱱᱰᱟᱞᱤ,मंडली,group,mandali
ᱵᱤᱱᱴᱤ,बिन्ती,Prayer,binti
ᱨᱟᱡᱟ,राजा,king,raja
ᱦᱚᱵᱟᱣᱟ,होबावा,Will be,hobawa
ᱱᱮᱱᱮᱞ,नेनेल,To See,Nenel
ᱵᱤᱨᱤᱫᱯᱮ,बिरिदपे,Get up,biridpe
ᱢᱟᱱᱰᱟ,मंडा,slow,manda
ᱪᱤᱞᱠᱟᱱ,चिलकन,How / What kind,chilkan
ᱨᱩᱣᱟᱫ,रुवाड़,Return / To come back,ruwad
ᱪᱟᱢᱟᱠᱚᱯᱮ,छामाकोपे,Forgive / Sorry,chamakope
ᱥᱟᱱᱥᱟᱨ,संसार,World / Universe,sansar
ᱵᱟᱜᱤ ᱴᱟᱢ,बागी तम,Leave it,bagi tam
